precision,recall,f1-score,support
0.6506024096385542,0.627906976744186,0.6390532544378699,86.0
0.6785714285714286,0.75,0.7124999999999999,76.0
1.0,0.9428571428571428,0.9705882352941176,35.0
0.4931506849315068,0.6428571428571429,0.5581395348837208,56.0
0.5428571428571428,0.5757575757575758,0.5588235294117646,33.0
0.6388888888888888,0.7419354838709677,0.6865671641791045,31.0
0.5208333333333334,0.5319148936170213,0.5263157894736842,47.0
0.5,0.7037037037037037,0.5846153846153846,27.0
0.4722222222222222,0.7083333333333334,0.5666666666666667,24.0
0.5,0.6170212765957447,0.5523809523809523,47.0
0.6052631578947368,0.6216216216216216,0.6133333333333333,37.0
0.625,0.5769230769230769,0.6,52.0
0.5681818181818182,0.6410256410256411,0.6024096385542169,39.0
0.5555555555555556,0.5102040816326531,0.5319148936170212,49.0
0.46153846153846156,0.375,0.41379310344827586,32.0
0.6785714285714286,0.6785714285714286,0.6785714285714286,28.0
0.6521739130434783,0.5660377358490566,0.6060606060606061,53.0
0.6451612903225806,0.5,0.5633802816901409,40.0
0.6764705882352942,0.6571428571428571,0.6666666666666666,35.0
0.4,0.3888888888888889,0.39436619718309857,36.0
0.5185185185185185,0.5833333333333334,0.5490196078431373,24.0
0.44,0.6285714285714286,0.5176470588235295,35.0
0.6388888888888888,0.5111111111111111,0.5679012345679012,45.0
0.4782608695652174,0.6470588235294118,0.55,34.0
1.0,0.9666666666666667,0.983050847457627,30.0
0.7291666666666666,0.5223880597014925,0.6086956521739131,67.0
0.575,0.575,0.575,40.0
0.9705882352941176,0.9428571428571428,0.9565217391304348,35.0
0.7857142857142857,0.7857142857142857,0.7857142857142857,28.0
0.5957446808510638,0.6222222222222222,0.608695652173913,45.0
0.7027027027027027,0.5909090909090909,0.6419753086419754,44.0
0.88,0.9565217391304348,0.9166666666666666,23.0
0.9210526315789473,0.8974358974358975,0.9090909090909091,39.0
0.9318181818181818,1.0,0.9647058823529412,41.0
0.58,0.6304347826086957,0.6041666666666666,46.0
0.5476190476190477,0.6764705882352942,0.605263157894737,34.0
0.7575757575757576,0.5813953488372093,0.6578947368421053,43.0
0.43478260869565216,0.47619047619047616,0.4545454545454545,21.0
0.9393939393939394,1.0,0.96875,31.0
0.5454545454545454,0.6,0.5714285714285713,30.0
0.5121951219512195,0.6,0.5526315789473684,35.0
0.6857142857142857,0.5853658536585366,0.6315789473684211,41.0
0.475,0.6785714285714286,0.5588235294117648,28.0
0.75,0.967741935483871,0.8450704225352113,31.0
0.9642857142857143,1.0,0.9818181818181818,27.0
0.6774193548387096,0.4883720930232558,0.5675675675675677,43.0
0.5517241379310345,0.48484848484848486,0.5161290322580646,33.0
