precision,recall,f1-score,support
0.7777777777777778,0.6408450704225352,0.7027027027027026,142.0
0.972972972972973,0.9473684210526315,0.9599999999999999,38.0
0.9900990099009901,0.9615384615384616,0.975609756097561,104.0
1.0,0.9642857142857143,0.9818181818181818,28.0
0.9402985074626866,0.8873239436619719,0.9130434782608696,213.0
0.4966887417218543,0.6302521008403361,0.5555555555555555,119.0
0.7818181818181819,0.8865979381443299,0.8309178743961353,97.0
0.9207920792079208,0.9789473684210527,0.9489795918367347,95.0
0.9296875,0.8925,0.9107142857142857,400.0
0.8275862068965517,0.8759124087591241,0.8510638297872339,137.0
0.9375,0.9375,0.9375,48.0
0.8888888888888888,0.9230769230769231,0.9056603773584906,26.0
0.65625,0.84,0.736842105263158,25.0
0.8888888888888888,0.8543689320388349,0.8712871287128712,206.0
0.7953216374269005,0.8662420382165605,0.8292682926829268,157.0
0.5862068965517241,0.68,0.6296296296296295,25.0
0.9705882352941176,0.9801980198019802,0.9753694581280787,101.0
0.9019607843137255,0.9583333333333334,0.9292929292929293,48.0
0.8181818181818182,0.8709677419354839,0.84375,93.0
0.8881578947368421,0.9440559440559441,0.9152542372881356,143.0
0.8918918918918919,0.8918918918918919,0.8918918918918919,37.0
0.9664804469273743,0.9301075268817204,0.947945205479452,372.0
0.7868852459016393,0.7384615384615385,0.7619047619047619,65.0
0.6349206349206349,0.851063829787234,0.7272727272727273,47.0
0.9832775919732442,0.9639344262295082,0.9735099337748344,305.0
0.6271186440677966,0.925,0.7474747474747475,40.0
0.875,0.9545454545454546,0.9130434782608695,66.0
0.7833333333333333,0.8103448275862069,0.7966101694915254,58.0
0.9278350515463918,0.9375,0.9326424870466321,96.0
0.717948717948718,0.7777777777777778,0.7466666666666666,36.0
0.39759036144578314,0.9428571428571428,0.559322033898305,35.0
0.8780487804878049,1.0,0.9350649350649352,36.0
0.75,0.4772727272727273,0.5833333333333334,44.0
0.8625,0.7275922671353251,0.7893231649189705,569.0
0.6781609195402298,0.59,0.6310160427807486,100.0
0.4034334763948498,0.5875,0.47837150127226463,160.0
0.921875,0.855072463768116,0.887218045112782,69.0
0.9468599033816425,0.8521739130434782,0.897025171624714,230.0
0.4594594594594595,0.8292682926829268,0.591304347826087,41.0
0.9361702127659575,0.9166666666666666,0.9263157894736843,48.0
0.8818181818181818,0.9023255813953488,0.8919540229885058,215.0
1.0,0.9787234042553191,0.989247311827957,47.0
0.9111111111111111,0.8913043478260869,0.9010989010989011,46.0
0.9494949494949495,0.9494949494949495,0.9494949494949495,99.0
0.408,0.6035502958579881,0.48687350835322196,169.0
1.0,0.7058823529411765,0.8275862068965517,51.0
0.8125,1.0,0.896551724137931,39.0
0.8780487804878049,0.8571428571428571,0.8674698795180722,42.0
0.8612244897959184,0.9055793991416309,0.8828451882845189,233.0
0.7722772277227723,0.8863636363636364,0.8253968253968254,88.0
0.8620689655172413,0.8620689655172413,0.8620689655172413,29.0
0.9411764705882353,0.8,0.8648648648648648,40.0
0.8829787234042553,0.9540229885057471,0.9171270718232043,87.0
0.9180327868852459,0.9032258064516129,0.9105691056910569,62.0
0.94375,0.8988095238095238,0.9207317073170732,168.0
0.6046511627906976,0.37142857142857144,0.46017699115044247,280.0
0.7744360902255639,0.944954128440367,0.8512396694214875,109.0
0.504,0.7590361445783133,0.6057692307692307,166.0
0.8461538461538461,0.6470588235294118,0.7333333333333334,51.0
0.64,0.7272727272727273,0.6808510638297872,44.0
0.4230769230769231,0.8461538461538461,0.5641025641025641,26.0
0.696969696969697,0.92,0.793103448275862,50.0
0.21839080459770116,0.4418604651162791,0.2923076923076924,43.0
0.9039039039039038,0.9261538461538461,0.9148936170212766,325.0
0.7543859649122807,0.8113207547169812,0.7818181818181817,106.0
0.711864406779661,0.9130434782608695,0.7999999999999999,46.0
0.16363636363636364,0.391304347826087,0.23076923076923078,46.0
0.9347826086956522,0.9052631578947369,0.9197860962566845,95.0
0.8048780487804879,0.8918918918918919,0.8461538461538461,37.0
0.9078947368421053,0.971830985915493,0.9387755102040817,71.0
0.8554216867469879,0.8875,0.8711656441717791,80.0
0.9743589743589743,0.957983193277311,0.9661016949152542,119.0
0.8891820580474934,0.8938992042440318,0.8915343915343915,377.0
0.9354838709677419,0.8529411764705882,0.8923076923076922,68.0
0.868421052631579,0.9166666666666666,0.8918918918918918,36.0
0.744,0.768595041322314,0.7560975609756098,121.0
0.6446280991735537,0.5131578947368421,0.5714285714285714,152.0
0.9583333333333334,0.9663865546218487,0.9623430962343097,119.0
0.8333333333333334,0.8284023668639053,0.8308605341246292,169.0
0.8933002481389578,0.6976744186046512,0.7834602829162133,516.0
0.9166666666666666,0.9705882352941176,0.9428571428571428,34.0
0.9397590361445783,0.9629629629629629,0.9512195121951219,162.0
0.95625,0.8225806451612904,0.8843930635838151,186.0
0.8648648648648649,0.8888888888888888,0.8767123287671232,72.0
0.7333333333333333,0.88,0.8,75.0
0.4264705882352941,0.5918367346938775,0.4957264957264957,49.0
