precision,recall,f1-score,support
0.9166666666666666,0.88,0.8979591836734694,25.0
0.6666666666666666,0.7142857142857143,0.689655172413793,14.0
0.64,0.8421052631578947,0.7272727272727272,19.0
0.6923076923076923,0.9642857142857143,0.8059701492537313,28.0
0.42105263157894735,0.16326530612244897,0.2352941176470588,49.0
0.30985915492957744,0.6875,0.42718446601941745,32.0
0.9230769230769231,0.8571428571428571,0.888888888888889,28.0
0.4166666666666667,0.3225806451612903,0.3636363636363636,31.0
0.6216216216216216,0.7666666666666667,0.6865671641791045,30.0
0.10526315789473684,0.09090909090909091,0.0975609756097561,22.0
0.4444444444444444,0.20512820512820512,0.2807017543859649,39.0
0.7307692307692307,0.76,0.7450980392156863,25.0
0.42857142857142855,0.4444444444444444,0.43636363636363634,27.0
0.37254901960784315,0.5757575757575758,0.45238095238095244,33.0
0.4634146341463415,0.4418604651162791,0.45238095238095233,43.0
0.3939393939393939,0.3170731707317073,0.35135135135135137,41.0
0.39285714285714285,0.2894736842105263,0.33333333333333337,38.0
0.30434782608695654,0.23333333333333334,0.26415094339622636,30.0
0.3076923076923077,0.2857142857142857,0.29629629629629634,28.0
0.5,0.3333333333333333,0.4,21.0
0.42857142857142855,0.4117647058823529,0.42,51.0
0.4146341463414634,0.68,0.5151515151515151,25.0
0.9230769230769231,0.96,0.9411764705882353,25.0
0.425531914893617,0.47619047619047616,0.449438202247191,42.0
0.28,0.3181818181818182,0.29787234042553196,22.0
0.6842105263157895,0.52,0.5909090909090909,25.0
0.6428571428571429,0.43902439024390244,0.5217391304347826,41.0
0.44642857142857145,0.5434782608695652,0.4901960784313726,46.0
0.5625,0.28125,0.375,32.0
0.5,0.32075471698113206,0.39080459770114945,53.0
0.4375,0.28,0.34146341463414637,25.0
0.7272727272727273,0.47058823529411764,0.5714285714285714,34.0
0.3448275862068966,0.29411764705882354,0.31746031746031744,34.0
1.0,0.9565217391304348,0.9777777777777777,23.0
0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
0.48148148148148145,0.52,0.5,25.0
0.3108108108108108,0.575,0.40350877192982454,40.0
0.9565217391304348,0.88,0.9166666666666666,25.0
0.4666666666666667,0.2413793103448276,0.3181818181818182,29.0
0.37037037037037035,0.3333333333333333,0.3508771929824561,30.0
0.7692307692307693,0.7142857142857143,0.7407407407407408,28.0
0.6,0.5142857142857142,0.5538461538461538,35.0
0.5918367346938775,0.8055555555555556,0.6823529411764706,36.0
0.6129032258064516,0.5135135135135135,0.5588235294117647,37.0
0.8235294117647058,0.9767441860465116,0.8936170212765957,43.0
0.5555555555555556,0.5,0.5263157894736842,20.0
0.2777777777777778,0.3448275862068966,0.3076923076923077,29.0
0.5,0.34615384615384615,0.40909090909090906,26.0
0.42105263157894735,0.6956521739130435,0.5245901639344263,23.0
0.5833333333333334,0.2692307692307692,0.3684210526315789,26.0
0.39285714285714285,0.39285714285714285,0.39285714285714285,28.0
0.4909090909090909,0.627906976744186,0.5510204081632653,43.0
0.38461538461538464,0.21739130434782608,0.27777777777777773,23.0
0.53125,0.53125,0.53125,32.0
1.0,0.9375,0.967741935483871,32.0
0.6052631578947368,0.4107142857142857,0.48936170212765956,56.0
0.5161290322580645,0.34782608695652173,0.4155844155844156,46.0
0.75,0.12,0.20689655172413793,25.0
0.5151515151515151,0.7083333333333334,0.5964912280701754,24.0
0.37735849056603776,0.5405405405405406,0.4444444444444445,37.0
0.5925925925925926,0.7272727272727273,0.6530612244897959,22.0
0.38,0.6333333333333333,0.4750000000000001,30.0
0.5,0.45652173913043476,0.47727272727272724,46.0
0.75,0.13636363636363635,0.23076923076923075,22.0
0.4166666666666667,0.2777777777777778,0.33333333333333337,18.0
0.42857142857142855,0.375,0.39999999999999997,24.0
0.3333333333333333,0.2,0.25,30.0
0.36,0.32142857142857145,0.33962264150943394,28.0
0.6153846153846154,0.42105263157894735,0.5,19.0
0.5588235294117647,0.5428571428571428,0.5507246376811593,35.0
0.4,0.4,0.4000000000000001,30.0
0.0,0.0,0.0,18.0
0.4,0.43478260869565216,0.41666666666666663,23.0
0.9259259259259259,0.8620689655172413,0.8928571428571429,29.0
0.5,0.47368421052631576,0.4864864864864865,38.0
0.5853658536585366,0.8571428571428571,0.6956521739130435,28.0
0.3793103448275862,0.5789473684210527,0.45833333333333337,19.0
0.4,0.27586206896551724,0.32653061224489793,29.0
0.4722222222222222,0.4722222222222222,0.4722222222222222,36.0
1.0,0.9696969696969697,0.9846153846153847,33.0
0.3333333333333333,0.2777777777777778,0.303030303030303,36.0
0.21052631578947367,0.25,0.22857142857142856,32.0
0.38095238095238093,0.7272727272727273,0.5,33.0
0.625,0.4861111111111111,0.5468749999999999,72.0
0.41935483870967744,0.5,0.45614035087719296,26.0
0.4,0.5945945945945946,0.4782608695652174,37.0
0.7142857142857143,0.16129032258064516,0.2631578947368421,31.0
0.47368421052631576,0.5806451612903226,0.5217391304347826,31.0
0.375,0.5,0.42857142857142855,24.0
0.3125,0.2857142857142857,0.29850746268656714,35.0
0.4318181818181818,0.4523809523809524,0.4418604651162791,42.0
0.3148148148148148,0.40476190476190477,0.3541666666666667,42.0
0.6538461538461539,0.53125,0.5862068965517242,32.0
0.4375,0.3783783783783784,0.40579710144927533,37.0
0.42105263157894735,0.5714285714285714,0.48484848484848486,42.0
0.7619047619047619,0.8421052631578947,0.8,19.0
0.3333333333333333,0.08695652173913043,0.13793103448275862,23.0
0.5681818181818182,0.625,0.5952380952380952,40.0
0.3888888888888889,0.5833333333333334,0.4666666666666666,24.0
0.5098039215686274,0.5416666666666666,0.5252525252525253,48.0
0.39285714285714285,0.36666666666666664,0.3793103448275862,30.0
0.9655172413793104,0.875,0.9180327868852458,32.0
0.2391304347826087,0.3548387096774194,0.2857142857142857,31.0
0.9090909090909091,1.0,0.9523809523809523,20.0
0.3888888888888889,0.7,0.5,30.0
0.4,0.038461538461538464,0.07017543859649124,52.0
0.48,0.7272727272727273,0.5783132530120482,33.0
0.5434782608695652,0.6410256410256411,0.5882352941176471,39.0
0.8,1.0,0.888888888888889,20.0
1.0,1.0,1.0,30.0
0.3939393939393939,0.5909090909090909,0.4727272727272727,22.0
0.6444444444444445,0.7073170731707317,0.6744186046511628,41.0
0.3235294117647059,0.4583333333333333,0.3793103448275862,24.0
0.41935483870967744,0.40625,0.4126984126984127,32.0
0.95,0.9047619047619048,0.9268292682926829,21.0
0.5675675675675675,0.525,0.5454545454545455,40.0
0.48,0.5714285714285714,0.5217391304347826,21.0
0.631578947368421,0.42857142857142855,0.5106382978723404,28.0
0.37142857142857144,0.41935483870967744,0.393939393939394,31.0
0.7,0.28,0.4,25.0
0.36363636363636365,0.1509433962264151,0.21333333333333335,53.0
0.3333333333333333,0.43478260869565216,0.3773584905660377,23.0
0.3191489361702128,0.5357142857142857,0.4,28.0
0.5285714285714286,0.6607142857142857,0.5873015873015873,56.0
0.53125,0.5862068965517241,0.5573770491803278,29.0
0.25,0.3611111111111111,0.2954545454545454,36.0
1.0,0.7586206896551724,0.8627450980392156,29.0
0.47619047619047616,0.35714285714285715,0.40816326530612246,28.0
0.6086956521739131,0.5185185185185185,0.5599999999999999,27.0
0.7142857142857143,0.2222222222222222,0.3389830508474576,45.0
0.45714285714285713,0.7272727272727273,0.5614035087719298,22.0
0.38235294117647056,0.3170731707317073,0.3466666666666666,41.0
0.43478260869565216,0.2127659574468085,0.2857142857142857,47.0
0.42105263157894735,0.5,0.45714285714285713,32.0
0.375,0.15384615384615385,0.2181818181818182,39.0
0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
0.8888888888888888,0.96,0.923076923076923,25.0
0.58,0.7073170731707317,0.6373626373626374,41.0
0.6111111111111112,0.2894736842105263,0.3928571428571429,38.0
0.38461538461538464,0.15625,0.22222222222222224,32.0
0.2972972972972973,0.4583333333333333,0.36065573770491804,24.0
0.8421052631578947,0.8,0.8205128205128205,20.0
0.328125,0.7,0.44680851063829785,30.0
0.2911392405063291,0.6764705882352942,0.40707964601769914,34.0
0.2857142857142857,0.09523809523809523,0.14285714285714285,21.0
0.4,0.3125,0.3508771929824561,32.0
0.88,0.7586206896551724,0.8148148148148148,29.0
0.7555555555555555,0.7555555555555555,0.7555555555555555,45.0
0.6301369863013698,0.5287356321839081,0.5750000000000001,87.0
0.5357142857142857,0.46875,0.5,32.0
0.41935483870967744,0.5,0.45614035087719296,26.0
0.5185185185185185,0.7368421052631579,0.6086956521739131,19.0
0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
0.45714285714285713,0.38095238095238093,0.4155844155844156,42.0
0.4666666666666667,0.525,0.49411764705882355,40.0
0.75,0.20689655172413793,0.32432432432432434,29.0
0.2903225806451613,0.2727272727272727,0.28125,33.0
0.24324324324324326,0.225,0.23376623376623376,40.0
0.34615384615384615,0.34615384615384615,0.34615384615384615,26.0
0.5208333333333334,0.5555555555555556,0.5376344086021506,45.0
0.21052631578947367,0.125,0.1568627450980392,32.0
1.0,0.10256410256410256,0.18604651162790695,39.0
0.9230769230769231,0.96,0.9411764705882353,25.0
0.35384615384615387,0.40350877192982454,0.3770491803278689,57.0
0.34615384615384615,0.6666666666666666,0.45569620253164556,27.0
0.4166666666666667,0.8,0.547945205479452,25.0
0.4772727272727273,0.5526315789473685,0.5121951219512196,38.0
0.44680851063829785,0.6774193548387096,0.5384615384615384,31.0
0.40816326530612246,0.4444444444444444,0.425531914893617,45.0
0.47619047619047616,0.23255813953488372,0.3125,43.0
0.4166666666666667,0.42857142857142855,0.4225352112676056,35.0
0.44,0.5789473684210527,0.5,38.0
0.3870967741935484,0.5217391304347826,0.4444444444444444,23.0
0.46875,0.7142857142857143,0.5660377358490566,21.0
0.358974358974359,0.6363636363636364,0.459016393442623,22.0
0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0
0.2631578947368421,0.21739130434782608,0.23809523809523808,23.0
0.46153846153846156,0.5294117647058824,0.4931506849315069,34.0
0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
0.574468085106383,0.6428571428571429,0.6067415730337079,42.0
0.9230769230769231,0.96,0.9411764705882353,25.0
0.23333333333333334,0.2916666666666667,0.2592592592592593,24.0
0.6666666666666666,0.8148148148148148,0.7333333333333333,27.0
0.4418604651162791,0.7307692307692307,0.5507246376811594,26.0
0.3870967741935484,0.41379310344827586,0.39999999999999997,29.0
0.21052631578947367,0.13333333333333333,0.163265306122449,30.0
0.6086956521739131,0.34146341463414637,0.4375,41.0
1.0,0.9090909090909091,0.9523809523809523,33.0
0.5769230769230769,0.38461538461538464,0.46153846153846156,39.0
0.7058823529411765,0.5454545454545454,0.6153846153846153,44.0
0.8214285714285714,0.8518518518518519,0.8363636363636364,27.0
0.8275862068965517,0.7058823529411765,0.7619047619047619,34.0
0.375,0.45,0.4090909090909091,20.0
0.75,1.0,0.8571428571428571,18.0
0.18604651162790697,0.3333333333333333,0.2388059701492537,24.0
0.46551724137931033,0.6428571428571429,0.5399999999999999,42.0
0.3888888888888889,0.2,0.2641509433962264,35.0
0.5,0.42857142857142855,0.4615384615384615,21.0
0.4230769230769231,0.6111111111111112,0.5,36.0
0.36,0.4090909090909091,0.3829787234042554,22.0
0.5063212111752771,0.5063212111752771,0.5063212111752771,0.5063212111752771
0.5270143384059,0.5202280561634699,0.5038127250026366,6407.0
0.5236426251042855,0.5063212111752771,0.49486422961325816,6407.0
