precision,recall,f1-score,support
0.3181818181818182,0.2692307692307692,0.2916666666666667,26.0
0.8148148148148148,0.9565217391304348,0.8800000000000001,23.0
0.5714285714285714,0.9333333333333333,0.7088607594936709,30.0
0.5,0.07894736842105263,0.13636363636363635,38.0
0.7,0.875,0.7777777777777777,16.0
0.6521739130434783,0.6521739130434783,0.6521739130434783,23.0
0.9090909090909091,1.0,0.9523809523809523,20.0
0.5,0.23076923076923078,0.3157894736842105,26.0
0.3333333333333333,0.16,0.21621621621621623,25.0
0.5769230769230769,0.6,0.5882352941176471,25.0
0.391304347826087,0.34615384615384615,0.36734693877551017,26.0
0.39285714285714285,0.4782608695652174,0.4313725490196078,46.0
0.2972972972972973,0.4782608695652174,0.3666666666666667,23.0
0.25,0.06666666666666667,0.10526315789473685,15.0
0.8,0.5,0.6153846153846154,48.0
0.6428571428571429,0.24324324324324326,0.35294117647058826,37.0
0.4482758620689655,0.2826086956521739,0.3466666666666666,46.0
0.3888888888888889,0.2,0.2641509433962264,35.0
0.375,0.1935483870967742,0.25531914893617014,31.0
0.40625,0.2826086956521739,0.33333333333333337,46.0
0.6666666666666666,0.5,0.5714285714285715,12.0
0.6428571428571429,1.0,0.782608695652174,18.0
0.5555555555555556,0.24390243902439024,0.33898305084745767,41.0
0.5714285714285714,0.23529411764705882,0.3333333333333333,17.0
0.375,0.3,0.33333333333333326,20.0
0.2727272727272727,0.10714285714285714,0.15384615384615383,28.0
0.6111111111111112,0.5238095238095238,0.5641025641025642,21.0
0.5714285714285714,0.32,0.41025641025641024,25.0
0.7741935483870968,0.75,0.7619047619047619,32.0
0.5,0.19230769230769232,0.2777777777777778,26.0
0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0
0.4918032786885246,0.6818181818181818,0.5714285714285714,88.0
0.42857142857142855,0.75,0.5454545454545454,28.0
0.4230769230769231,0.2972972972972973,0.34920634920634924,37.0
0.8571428571428571,0.9473684210526315,0.9,19.0
0.43333333333333335,0.52,0.4727272727272728,25.0
0.3793103448275862,0.2558139534883721,0.3055555555555556,43.0
0.13333333333333333,0.047619047619047616,0.07017543859649122,42.0
0.29411764705882354,0.29411764705882354,0.29411764705882354,34.0
0.6111111111111112,0.6470588235294118,0.6285714285714287,17.0
0.625,0.15625,0.25,32.0
0.5263157894736842,0.7692307692307693,0.625,13.0
0.8,0.16,0.26666666666666666,25.0
0.9565217391304348,0.9166666666666666,0.9361702127659574,24.0
0.09090909090909091,0.037037037037037035,0.05263157894736842,27.0
0.5,0.2,0.28571428571428575,30.0
0.25,0.16666666666666666,0.2,18.0
0.2903225806451613,0.34615384615384615,0.3157894736842105,26.0
0.7,0.3333333333333333,0.45161290322580644,21.0
0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
0.5,0.4375,0.4666666666666667,32.0
0.9166666666666666,1.0,0.9565217391304348,22.0
0.7619047619047619,0.41025641025641024,0.5333333333333333,39.0
0.3076923076923077,0.4444444444444444,0.3636363636363637,18.0
0.9230769230769231,0.8,0.8571428571428571,15.0
0.6296296296296297,0.5862068965517241,0.6071428571428571,29.0
0.3333333333333333,0.21052631578947367,0.2580645161290323,19.0
0.7,0.4666666666666667,0.56,30.0
0.4117647058823529,0.7368421052631579,0.5283018867924528,19.0
0.5,0.47368421052631576,0.4864864864864865,19.0
0.5714285714285714,0.14814814814814814,0.23529411764705882,27.0
0.3617021276595745,0.7727272727272727,0.4927536231884059,22.0
0.9583333333333334,0.92,0.9387755102040817,25.0
0.375,0.72,0.4931506849315069,25.0
0.3157894736842105,0.3333333333333333,0.3243243243243243,18.0
0.35294117647058826,0.4444444444444444,0.39344262295081966,27.0
0.7142857142857143,0.43478260869565216,0.5405405405405405,23.0
0.3230769230769231,0.7,0.4421052631578948,30.0
0.38,0.40425531914893614,0.3917525773195877,47.0
0.4423076923076923,0.41818181818181815,0.4299065420560747,55.0
0.6666666666666666,0.625,0.6451612903225806,16.0
0.2727272727272727,0.48,0.34782608695652173,25.0
0.3023255813953488,0.6046511627906976,0.40310077519379844,43.0
0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0
0.2,0.3181818181818182,0.2456140350877193,22.0
0.8461538461538461,1.0,0.9166666666666666,22.0
0.6086956521739131,0.4666666666666667,0.5283018867924527,30.0
0.23333333333333334,0.2413793103448276,0.23728813559322037,29.0
0.17307692307692307,0.28125,0.2142857142857143,32.0
0.32,0.36363636363636365,0.3404255319148936,22.0
0.875,0.9210526315789473,0.8974358974358975,38.0
0.45454545454545453,0.8333333333333334,0.5882352941176471,18.0
0.8888888888888888,0.9230769230769231,0.9056603773584906,26.0
0.2926829268292683,0.3870967741935484,0.3333333333333333,31.0
0.4,0.11428571428571428,0.17777777777777776,35.0
0.6046511627906976,0.7222222222222222,0.6582278481012659,36.0
0.36363636363636365,0.14285714285714285,0.2051282051282051,28.0
0.8333333333333334,0.17857142857142858,0.29411764705882354,28.0
0.5405405405405406,0.46511627906976744,0.5,43.0
0.6666666666666666,0.631578947368421,0.6486486486486486,19.0
0.5714285714285714,0.6,0.5853658536585366,20.0
0.3333333333333333,0.5,0.4,42.0
1.0,0.8,0.888888888888889,15.0
0.4,0.18181818181818182,0.25000000000000006,33.0
0.3333333333333333,0.5526315789473685,0.4158415841584158,38.0
0.48,0.48,0.48,25.0
0.71875,1.0,0.8363636363636363,23.0
0.05555555555555555,0.047619047619047616,0.05128205128205128,21.0
0.6666666666666666,0.6428571428571429,0.6545454545454545,28.0
0.45454545454545453,0.11904761904761904,0.18867924528301885,42.0
0.631578947368421,0.3333333333333333,0.4363636363636364,36.0
0.5333333333333333,0.3333333333333333,0.4102564102564102,24.0
0.7647058823529411,0.3939393939393939,0.5199999999999999,33.0
0.3,0.5833333333333334,0.3962264150943397,36.0
0.7272727272727273,0.5714285714285714,0.64,28.0
0.52,0.5909090909090909,0.5531914893617023,22.0
0.15384615384615385,0.3333333333333333,0.21052631578947367,24.0
0.2777777777777778,0.22727272727272727,0.25,22.0
0.6666666666666666,0.7368421052631579,0.7,19.0
0.5,0.5333333333333333,0.5161290322580646,15.0
0.5,0.06896551724137931,0.1212121212121212,29.0
0.8823529411764706,0.7894736842105263,0.8333333333333333,19.0
0.3877551020408163,0.4634146341463415,0.4222222222222223,41.0
0.225,0.47368421052631576,0.30508474576271183,19.0
1.0,0.7777777777777778,0.8750000000000001,18.0
0.3,0.4,0.34285714285714286,30.0
0.3684210526315789,0.8235294117647058,0.509090909090909,17.0
0.4406779661016949,0.38235294117647056,0.4094488188976378,68.0
0.36363636363636365,0.64,0.463768115942029,25.0
0.15384615384615385,0.09523809523809523,0.11764705882352941,21.0
0.3181818181818182,0.25,0.28,28.0
0.36923076923076925,0.6486486486486487,0.47058823529411764,37.0
0.2727272727272727,0.2857142857142857,0.2790697674418604,21.0
0.27586206896551724,0.2962962962962963,0.2857142857142857,27.0
0.6052631578947368,0.8518518518518519,0.7076923076923076,27.0
0.5384615384615384,0.8235294117647058,0.6511627906976744,17.0
0.4375,0.5,0.4666666666666667,14.0
0.38095238095238093,0.34782608695652173,0.3636363636363636,23.0
0.39473684210526316,0.3409090909090909,0.36585365853658536,44.0
0.5263157894736842,0.625,0.5714285714285714,16.0
0.6,0.10344827586206896,0.17647058823529413,29.0
0.2894736842105263,0.5789473684210527,0.3859649122807018,19.0
0.45454545454545453,0.2702702702702703,0.33898305084745767,37.0
1.0,0.1,0.18181818181818182,20.0
0.4,0.5333333333333333,0.4571428571428572,15.0
0.14285714285714285,0.17647058823529413,0.15789473684210528,17.0
0.5,0.041666666666666664,0.07692307692307693,24.0
0.4166666666666667,0.2702702702702703,0.3278688524590164,37.0
0.5,0.037037037037037035,0.06896551724137931,27.0
0.6875,0.3235294117647059,0.44000000000000006,34.0
0.5,0.6176470588235294,0.5526315789473685,34.0
0.7692307692307693,0.7142857142857143,0.7407407407407408,14.0
0.9230769230769231,0.8181818181818182,0.8674698795180724,44.0
0.4634146341463415,0.475,0.4691358024691358,40.0
0.29411764705882354,0.15625,0.20408163265306123,32.0
0.3448275862068966,0.5714285714285714,0.43010752688172044,35.0
0.3793103448275862,0.55,0.4489795918367347,20.0
0.8666666666666667,1.0,0.9285714285714286,26.0
0.6363636363636364,0.84,0.7241379310344828,25.0
0.48,0.48,0.48,25.0
0.45454545454545453,0.3448275862068966,0.39215686274509803,29.0
0.32727272727272727,0.782608695652174,0.46153846153846156,23.0
0.75,1.0,0.8571428571428571,9.0
0.5,0.023255813953488372,0.04444444444444444,43.0
0.47619047619047616,0.2857142857142857,0.3571428571428571,35.0
0.6666666666666666,0.32558139534883723,0.4375,43.0
0.375,0.6774193548387096,0.48275862068965525,31.0
0.3142857142857143,0.4230769230769231,0.360655737704918,26.0
0.425,0.6071428571428571,0.5,28.0
0.5,0.45454545454545453,0.47619047619047616,22.0
0.65,0.4482758620689655,0.5306122448979592,29.0
0.4090909090909091,0.6428571428571429,0.5000000000000001,14.0
0.3225806451612903,0.3225806451612903,0.3225806451612903,31.0
0.21951219512195122,0.45,0.29508196721311475,20.0
0.782608695652174,0.8181818181818182,0.8,22.0
0.6170212765957447,0.725,0.6666666666666666,40.0
0.4375,0.30434782608695654,0.358974358974359,23.0
0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
